season,season_id,player_id,provider_id,team_team_id,team_official_name,media_first_name,media_last_name,short_name,role_label,nationality,bib_number,role,display_name,nationality_iso_code,rank_label,team_provider_id,team_short_name,team_acronym_name,team_media_name,team_country_code,games_played,minutes_played,goals,assists,total_scoring_attempts,goal_involvements,on_target_scoring_attempts,total_attacking_assist,tackles_won,fouls_committed,fouls_suffered,total_offside,yellow_cards,red_cards,aerials_won_perc,accurate_pass_percentage,goals_conceded,goals_against_average,corners,goals_free_kick,hit_woodwork,penalty_attempts,penalties_successful,yellow_red_cards,xg,xgefficiency,tackles_won_perc,duels_won_perc,aerial_duels_won_perc,crosses_complete_percentage,total_distance_covered,avg_distance_covered,total_distance_covered_walking,average_distance_covered_walking,total_distance_covered_jogging,average_distance_covered_jogging,total_distance_covered_low_intensity_running,average_distance_covered_low_intensity_running,total_distance_covered_sprinting,average_distance_covered_sprinting,total_distance_covered_high_intensity_running,average_distance_covered_high_intensity_running,sprints,unsuccessful_crosses_open_play,offsides,time_played,throw_ins_to_own_player,successful_lay_offs,successful_launches,right_foot_goals,open_play_passes,corners_won,backward_passes,successful_crosses_corners,successful_passes_opposition_half,unsuccessful_launches,unsuccessful_long_passes,putthrough_blocked_distribution_won,shots_off_target_inc_woodwork,goals_conceded_outside_box,aerial_duels_lost,total_losses_of_possession,successful_passes_own_half,total_tackles,set_pieces_goals,unsuccessful_short_passes,total_passes,substitute_off,total_fouls_conceded,successful_dribbles,successful_short_passes,goals_conceded_inside_box,total_shots,total_unsuccessful_passes_excl_crosses_corners,successful_corners_into_box,rightside_passes,key_passes_attempt_assists,unsuccessful_passes_opposition_half,blocked_shots,throw_ins_to_opposition_player,recoveries,starts,putthrough_blocked_distribution,unsuccessful_passes_own_half,touches,corners_taken_incl_short_corners,appearances,foul_attempted_tackle,blocks,ground_duels,goals_from_outside_box,forward_passes,total_touches_in_opposition_box,index,duels_won,shots_on_target_inc_goals,attempts_from_set_pieces,successful_long_passes,successful_crosses_open_play,total_fouls_won,aerial_duels_won,unsuccessful_dribbles,duels,total_clearances,unsuccessful_crosses_corners,unsuccessful_corners_into_box,assists_intentional,ground_duels_lost,leftside_passes,clearances_off_the_line,successful_open_play_passes,total_successful_passes_excl_crosses_corners,aerial_duels,clean_sheets,goal_assists,duels_lost,tackles_lost,interceptions,ground_duels_won,source_category_general,average_speed,top_speed,accurate_pass,accurate_forward_pass,total_pass,cross,assists_average_over_90_minutes,accurate_long_balls,turnover,cross_attempts,long_pass_attempts,long_passes_successful,medium_passes_successful,source_category_passing,substitute_on,left_foot_goals,headed_goals,handballs_conceded,goals_from_inside_box,unsuccessful_lay_offs,own_goal_scored,gk_unsuccessful_distribution,last_man_tackle,penalties_conceded,through_balls,saves_made,gk_successful_distribution,drops,saves_made_from_outside_box,saves_made_from_inside_box,penalties_faced,saves_made_caught,punches,goalkeeper_smother,catches,total_red_cards,straight_red_cards,crosses_not_claimed,penalties_saved,saves_made_parried,saves_from_penalty,penalties_taken,penalty_goals,foul_won_penalty,other_goals,penalties_off_target
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::4c46fffdcae6463c82689d0c5dba3084,opta:Player:2rsxbrc83nxa3ic6p7hd2rdud,nwsl::Football_Team::73ef53968527477284cdd9823cb9d5b4,FC Kansas City,,,Y. Averbuch,Midfielder,USA,14,3,,USA,4,opta:Team:84o73tduvg052h5xf8fp1kfpe,Kansas,KC,FC Kansas City,US,23,2045,1,1,12,0,1,1,23,6,7,1,0,0,0,,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2045,2,2,25,1,1188,3,52,8,285,57,134,5,11,7,11,302,735,39,1,124,1270,1,6,3,925,23,12,258,5,368,17,172,6,1,131,23,19,104,1586,20,23,4,10,70,1,696,6,10,73,1,10,87,1,7,24,1,105,118,18,11,1,21,154,1,945,1012,35,5,1,32,16,35,49,True,0,0,0,0,1270,1,0.04,87,302,0,221,87,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::32ca7b5a45224a07b33481b376aa6351,opta:Player:4bji7nr72zw8k792q16m51g45,nwsl::Football_Team::c83f2ca05aa84c738b5373f0d2a31b39,NJ/NY Gotham FC,,,M. Hayes,Forward,USA,11,4,,USA,103,opta:Team:bgkfdckqfqnfbmecbtz03n76d,Gotham FC,GFC,NJ/NY Gotham FC,US,22,1079,5,4,22,0,13,4,19,15,9,3,1,0,0,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,1079,2,23,,1,289,11,89,2,131,1,8,9,9,2,24,192,77,32,,96,310,9,15,8,205,21,22,104,,77,6,102,2,1,38,13,23,15,506,,22,4,,96,,78,55,10,70,13,,1,2,9,21,11,141,6,13,,4,47,66,,185,206,45,1,4,71,13,5,49,True,0,0,0,0,310,2,0.33,1,192,0,9,1,0,True,9,3,1,3,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::633dddd72e924526ac07df0a65df59d3,opta:Player:5yg4ks95qlwtgie8c0xik9ud,nwsl::Football_Team::73ef53968527477284cdd9823cb9d5b4,FC Kansas City,,,S. Hagen,Forward,USA,22,4,,USA,111,opta:Team:84o73tduvg052h5xf8fp1kfpe,Kansas,KC,FC Kansas City,USA,18,677,2,0,21,0,9,0,7,3,7,4,0,0,0,,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,677,1,22,,1,220,3,78,,117,2,3,6,12,1,25,106,58,9,,61,239,7,3,1,174,15,21,64,,35,9,52,7,,22,7,10,17,358,,18,1,,34,,58,36,10,52,9,,1,,7,38,2,97,8,5,,,20,68,,157,175,63,,,45,2,2,14,True,0,0,0,0,239,0,0,1,106,0,4,1,0,True,11,1,,1,2,6,1,,,,,,,,,,,,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::b1c1d23e290f4c2cbce7696c8dc2428b,opta:Player:6g9v3mxjat3r8pximwk992twp,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,Portland Thorns,,,A. Kleiner,Defender,USA,30,2,,USA,89,opta:Team:446mp88j1vpk9iwui9fiifrp8,Thorns,POR,Portland Thorns,USA,18,997,0,0,4,0,1,0,21,9,10,0,0,0,0,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,997,100,,4,,357,7,49,2,113,10,23,8,3,1,10,222,131,24,,97,362,4,9,2,236,19,4,120,,96,4,115,2,36,54,11,27,36,682,1,18,3,3,63,,185,8,10,40,1,,6,2,10,4,5,77,25,31,1,,27,32,,239,242,14,1,,37,3,22,36,True,0,0,0,0,362,2,0,6,222,0,29,6,0,True,7,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::34a5810671a94cf784b4198422abfee2,opta:Player:dvkjopr8uepcvaza4d4lmo0yd,nwsl::Football_Team::60d7d72f0a134943921fee199cca61a2,Boston Breakers,,,K. Kallman,Defender,USA,5,2,,USA,68,opta:Team:b8b7m094941l37s57ky5qydje,Breakers,BOS,Boston Breakers,US,17,1400,0,0,0,0,0,0,22,9,5,0,1,0,0,,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,1400,97,,6,,547,1,99,1,179,14,23,8,,4,8,182,260,25,,97,558,3,9,3,418,23,,120,,164,8,74,,34,96,16,16,50,885,,17,3,6,54,,249,3,10,44,,,20,1,5,12,2,74,47,4,,,22,46,,430,438,20,1,,30,3,48,32,True,0,0,0,0,558,1,0,20,182,0,43,20,0,True,1,,,2,,,2,,,2,1,,,,,,,,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::b58f51de59394e22b763518350c6a3c0,opta:Player:dx2cwi6giakekscdv70cpkp1x,nwsl::Football_Team::60d7d72f0a134943921fee199cca61a2,Boston Breakers,,,S. McCaffrey,Forward,USA,9,4,,USA,134,opta:Team:b8b7m094941l37s57ky5qydje,Breakers,BOS,Boston Breakers,US,13,365,0,0,7,0,3,0,6,2,2,3,0,0,0,,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,365,2,5,,,74,6,26,,38,,,4,4,1,5,72,16,8,,26,80,3,2,2,54,5,7,26,,22,4,30,1,,16,4,10,4,166,,13,1,1,35,,17,23,10,12,3,,,,2,,5,40,1,8,,,23,15,,48,54,5,,,28,2,1,12,True,0,0,0,0,80,0,0,0,72,0,0,0,0,True,9,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::404d296f2db3430fa708712e6accb043,opta:Player:3uysozs12id1wskn39dqsn9p1,nwsl::Football_Team::269e825b853f4b43a9d38390aa92bf6e,Chicago Stars FC,,,M. Dalton,Goalkeeper,USA,18,1,,USA,137,opta:Team:dzxypx8djih58p668surbi4qm,Chicago Stars,CHI,Chicago Stars FC,US,2,180,0,0,0,0,0,0,0,0,1,0,0,0,0,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,180,,,16,,31,,,,10,21,33,,,1,,39,22,,,2,67,,,,1,4,,35,,,,11,,,25,2,1,24,87,,2,,,,,63,,10,3,,,31,,1,3,,3,,,,,,4,,13,32,3,,,,,,,True,0,0,0,0,67,0,0,31,39,0,64,31,0,True,,,,,,,,10,,,,7,21,1,4,3,1,1,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::a2419a96148f403cb151257a7d02d49c,opta:Player:d3ru8c2701kc4jq2c241d1v4l,nwsl::Football_Team::c83f2ca05aa84c738b5373f0d2a31b39,NJ/NY Gotham FC,,,M. Morris,Forward,USA,32,4,,USA,159,opta:Team:bgkfdckqfqnfbmecbtz03n76d,Gotham FC,GFC,NJ/NY Gotham FC,US,1,11,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,11,,,,,4,,,,2,,,1,,,,1,2,2,,,4,,,,3,,,,,,,,,,1,,1,,11,,1,,,3,,2,,10,3,,,1,,,1,,4,1,,,,1,2,,4,4,1,,,1,1,2,2,True,0,0,0,0,4,0,0,1,1,0,1,1,0,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::b43830c041c04d5498af9cc4b74699b9,opta:Player:7gxkgxvy0rtaqh7li1t5zvro5,nwsl::Football_Team::1151140adfc24339ba1c93cb0b6b0238,Seattle Reign,,,C. Stanley,Goalkeeper,USA,12,1,,USA,149,opta:Team:bl53jk6zlfe5f583pil7xzwi5,Reign,SEA,Seattle Reign,US,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,64,,,2,,3,,,,1,3,10,,,,,10,5,,,,16,,,,2,1,,10,,,,4,,,9,,,6,26,,1,,,,,16,,10,,,,4,,,,,,2,,,,,,,,6,,,,,,,,True,0,0,0,0,16,0,0,4,10,0,14,4,0,True,1,,,,,,,4,,,,2,6,,,2,,,2,1,1,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::00ef8c89ab094cafbd9332c0a8049f0f,opta:Player:eqnp30oprv1ae4tsx67f744wl,nwsl::Football_Team::c83f2ca05aa84c738b5373f0d2a31b39,NJ/NY Gotham FC,,,K. DeCesare,Midfielder,USA,12,3,,USA,161,opta:Team:bgkfdckqfqnfbmecbtz03n76d,Gotham FC,GFC,NJ/NY Gotham FC,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::389b53ba12c345c5b9d18cd1cbd829a3,opta:Player:efbn5u0llcavxpnc7uuks42cp,nwsl::Football_Team::269e825b853f4b43a9d38390aa92bf6e,Chicago Stars FC,,,M. Luba,Midfielder,USA,34,3,,USA,162,opta:Team:dzxypx8djih58p668surbi4qm,Chicago Stars,CHI,Chicago Stars FC,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::a6b2526653a145eca3ce35d2dec4ad8c,opta:Player:608a635uyk0rwg23ttiuqw8gl,nwsl::Football_Team::96ba7b37bd8544a1a7329183459150ff,Portland Thorns,,,C. Niemiec,Defender,USA,25,2,,USA,163,opta:Team:446mp88j1vpk9iwui9fiifrp8,Thorns,POR,Portland Thorns,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::27bc115157c2441ea2092b2560ca1950,opta:Player:s8dx6qb18fq6gff8ufjzd0wl,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,Washington Spirit,Yanara Katherine Nicole,Aedo Muñoz,Y. Aedo,Forward,Chile,27,4,,CHL,164,opta:Team:f1ks82wpiewyqs6h3oz9v4hzj,Spirit,WAS,Washington Spirit,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::1276f005480e4a24b7bbf77e97b09fd4,opta:Player:4x5sks5f5hgorl2cburji1ped,nwsl::Football_Team::fb41ef4439dd495098cb6d40415767cc,North Carolina Courage,Lindsay Elizabeth,Agnew,L. Agnew,Forward,Canada,20,4,,CAN,129,opta:Team:b4fbmos00gxtk8qnaqsm392p5,Courage,NC,North Carolina Courage,USA,8,291,0,1,5,0,2,1,1,1,3,3,0,0,0,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,291,1,2,,,103,2,14,1,54,1,3,3,3,2,4,76,21,2,,27,104,2,1,5,72,4,5,30,,25,6,32,2,3,11,2,9,2,183,,8,1,,26,,36,15,10,16,2,,2,1,3,6,2,36,2,4,,,16,29,,73,74,10,,1,20,1,1,10,True,0,0,0,0,104,1,0.31,2,76,0,5,2,0,True,6,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::e9469ff437a947a4b904d8ede8d1b94e,opta:Player:dn7lmn1ybn5tv1ttjmhueli39,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,Orlando Pride,Laura Colleen Gloria,Alleway Brock,L. Brock,Defender,Australia,5,2,,AUS,138,opta:Team:966pdxhsoxaib9qt5083h8uus,Pride,ORL,Orlando Pride,USA,2,136,0,0,0,0,0,0,1,3,0,0,2,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,136,,,1,,61,,4,,14,,3,,,,2,12,41,1,,8,66,,3,,51,4,,11,,5,,6,,,5,1,,5,85,,2,1,1,5,,27,,10,4,,,4,,,3,,10,13,,,,4,30,,52,55,5,,,6,,2,1,True,0,0,0,0,66,0,0,4,12,0,7,4,0,True,1,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::65345eaea5584a9f9e6c198bd975eecd,opta:Player:55xhr0l9dwjnahav66lh49djp,nwsl::Football_Team::1151140adfc24339ba1c93cb0b6b0238,Seattle Reign,Morgan,Andrews,M. Andrews,Midfielder,USA,12,3,,USA,79,opta:Team:bl53jk6zlfe5f583pil7xzwi5,Reign,SEA,Seattle Reign,US,18,1034,0,0,13,0,5,0,20,16,7,1,2,0,0,,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1034,,10,2,,428,7,72,5,125,14,46,12,8,2,38,186,173,23,,97,436,2,16,4,266,13,13,143,3,94,11,122,3,,68,10,17,33,594,13,18,4,2,71,,181,18,10,57,5,4,27,,7,23,3,132,18,12,8,,37,89,,291,293,61,3,,75,3,14,34,True,0,0,0,0,436,0,0,27,186,0,73,27,0,True,8,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::6e446237f3374a319e49d075217bd799,opta:Player:5qvgs8yefgkayj9yt1kidkcfd,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,Washington Spirit,Estefanía,Banini,E. Banini,Midfielder,Argentina,26,3,,ARG,106,opta:Team:f1ks82wpiewyqs6h3oz9v4hzj,Spirit,WAS,Washington Spirit,USA,9,546,1,0,11,0,8,0,12,6,8,0,0,0,0,,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,546,6,7,,1,255,3,45,2,168,1,2,4,3,2,6,116,34,18,,60,262,3,6,6,195,13,11,62,,85,14,62,5,,34,6,11,6,383,6,9,2,1,69,,72,29,10,35,8,,5,2,8,3,10,78,1,6,1,,37,60,,193,200,9,,,43,6,3,32,True,0,0,0,0,262,2,0,5,116,0,7,5,0,True,3,,,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::4e3e0c90f6d84e75ae44f0ed0c6cbe7f,opta:Player:5fkw18yxmk3wccr46kjtoz5xx,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,Orlando Pride,Poliana,Barbosa Medeiros,Poliana,Defender,Brazil,19,2,,BRA,49,opta:Team:966pdxhsoxaib9qt5083h8uus,Pride,ORL,Orlando Pride,USA,22,1564,4,2,20,0,13,2,24,7,6,8,0,0,0,,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,8,1564,103,4,8,2,689,6,85,5,299,29,47,16,7,2,19,260,252,36,,103,696,1,7,19,512,25,20,150,,65,16,123,7,17,88,17,29,53,1128,,22,4,6,123,,273,43,10,78,13,,34,5,6,17,17,159,50,26,,2,62,273,,539,546,36,4,2,81,12,36,61,True,0,0,0,0,696,5,0.12,34,260,0,81,34,0,True,5,,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::5ae4cbaf5a2f45eaa9c280ff2b6cec7f,opta:Player:7lt9nze7e2mk2hlp9dkvabkyd,nwsl::Football_Team::1151140adfc24339ba1c93cb0b6b0238,Seattle Reign,Lauren,Barnes,L. Barnes,Defender,USA,3,2,,USA,7,opta:Team:bl53jk6zlfe5f583pil7xzwi5,Reign,SEA,Seattle Reign,US,22,1811,0,0,0,0,0,0,31,14,9,0,5,1,0,,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1811,60,2,21,,1092,2,89,6,209,60,126,15,,,17,298,704,46,,105,1138,,14,8,804,31,,231,3,426,9,160,2,17,85,21,28,92,1503,22,22,8,13,102,,516,,10,78,,,103,3,9,16,3,135,72,21,19,,40,107,,870,907,33,3,,57,15,45,62,True,0,0,0,0,1138,3,0,103,298,0,229,103,0,True,1,,,1,,,,,1,1,,,1,,,,,,,,,1,1,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::fbfe7392b0744bb6a8d7826010fe0a6e,opta:Player:1vm9mztp9ro7cnp6boinc7phx,nwsl::Football_Team::c31d72afc09f42ee86418633aa41390a,Washington Spirit,Nicole,Barnhart,N. Barnhart,Goalkeeper,USA,28,1,,USA,52,opta:Team:f1ks82wpiewyqs6h3oz9v4hzj,Spirit,WAS,Washington Spirit,US,24,2160,0,0,0,0,0,0,0,0,5,0,0,0,0,,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2160,,,41,,304,,,,45,78,242,,,7,1,255,379,,,11,677,,,,266,24,,253,,84,1,107,,,276,24,1,146,985,,24,,,5,,445,,10,10,,,158,,5,7,,13,27,,,,2,148,,220,424,8,6,,3,,,3,True,0,0,0,0,677,0,0,158,255,0,400,158,0,True,,,,,,,,94,,,,97,305,,33,62,4,8,11,2,27,,,1,1,24,1,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::aaee9146182b49ab837b594be14e9391,opta:Player:5500190mb8eazysrq1yrbbnx1,nwsl::Football_Team::1151140adfc24339ba1c93cb0b6b0238,Seattle Reign,Madeline,Bauer,M. Bauer,Defender,USA,26,2,,USA,131,opta:Team:bl53jk6zlfe5f583pil7xzwi5,Reign,SEA,Seattle Reign,US,5,153,0,0,0,0,0,0,3,3,1,0,0,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,153,,2,,,93,,6,1,21,7,15,4,,,3,38,40,8,,20,95,,3,,58,4,,35,,5,,29,,,15,1,7,6,128,,5,1,,14,,60,,10,13,,,2,1,1,4,,21,4,,,,5,24,,59,60,7,,,8,5,9,9,True,0,0,0,0,95,1,0,2,38,0,17,2,0,True,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::0a0fc2bab77a4a5bbb5048fd1241efe4,opta:Player:dkklpvy2wuy595er9vql3ywyy,nwsl::Football_Team::c83f2ca05aa84c738b5373f0d2a31b39,NJ/NY Gotham FC,Cassidy,Benintente,C. Benintente,Defender,USA,4,2,,USA,150,opta:Team:bgkfdckqfqnfbmecbtz03n76d,Gotham FC,NJY,NJ/NY Gotham FC,USA,1,30,0,0,0,0,0,0,0,0,1,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,30,1,,1,,15,,2,,4,1,2,,,,2,11,6,,,3,15,,,,9,2,,5,,1,,4,,3,2,,1,2,29,,1,,,1,,7,,10,2,,,1,,1,1,,4,4,1,,,,5,,10,10,3,,,2,,,1,True,0,0,0,0,15,0,0,1,11,0,3,1,0,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::514f074d68894165a2eb9bbb34796c71,opta:Player:7oqp7t02a46vbwp5c5t0kczx1,nwsl::Football_Team::ca3f464d6b794a9087d441d75961403f,Houston Dash,Bruna Beatriz,Benites Soares,Bruna Benites,Defender,Brazil,4,2,,BRA,93,opta:Team:c3v2ohfuzoqmc8ljm65hi80sj,Dash,HOU,Houston Dash,USA,14,841,0,0,1,0,1,0,16,16,6,0,6,0,0,,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,841,2,,7,,333,,35,,66,12,29,5,,1,14,89,199,27,,56,350,,16,2,238,14,1,85,,67,,44,1,1,39,8,14,41,507,,14,8,9,53,,159,5,10,52,1,,27,,6,17,,84,51,,,,18,89,1,251,265,31,2,,32,11,41,35,True,0,0,0,0,350,0,0,27,89,0,56,27,0,True,6,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::f3e1a521ef4f4f24bd0ee3fb985ec265,opta:Player:cm6fzm8v38ti0aubu0q4v717t,nwsl::Football_Team::1151140adfc24339ba1c93cb0b6b0238,Seattle Reign,Lynn,Biyendolo,L. Biyendolo,Forward,USA,6,4,,USA,72,opta:Team:bl53jk6zlfe5f583pil7xzwi5,Reign,SEA,Seattle Reign,US,23,2006,9,5,83,0,38,5,16,13,8,17,0,0,0,,20,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,17,2006,3,42,,9,523,43,118,7,257,5,25,26,45,,19,394,76,23,,176,527,3,13,19,311,20,83,201,,182,41,216,31,,97,23,51,19,960,,23,8,1,138,1,112,206,10,84,38,,15,7,8,34,21,191,9,34,,5,88,115,,322,326,53,10,5,107,7,8,50,True,0,0,0,0,527,7,0.22,15,394,0,40,15,0,True,,,,,8,6,,,,,,,,,,,,,,,,,,,,,,1,1,,,
2017,nwsl::Football_Season::94c1960d277841139f67628f8a71ff79,nwsl::Football_Player::f0a3d2ff3070447291290bf0f7d024b8,opta:Player:9pvjk3aavoet1maz8ztpdyuzu,nwsl::Football_Team::c3e9513e280b41e5bfbb8230076e8c43,Orlando Pride,Jocelyn,Blankenship,J. Blankenship,Midfielder,USA,44,3,,USA,165,opta:Team:966pdxhsoxaib9qt5083h8uus,Pride,ORL,Orlando Pride,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
